variable,code,text,labelset
d30b,3,Major obstacle,
d30b,4,Very severe obstacle,
c30a,-9,Don't know (spontaneous),
c30a,-7,Does not apply,
c30a,0,No obstacle,
c30a,1,Minor obstacle,
c30a,2,Moderate obstacle,
c30a,3,Major obstacle,
c30a,4,Very severe obstacle,
l30b,-9,Don't know (spontaneous),
l30b,-7,Does not apply,
l30b,0,No obstacle,
l30b,1,Minor obstacle,
l30b,2,Moderate obstacle,
l30b,3,Major obstacle,
l30b,4,Very severe obstacle,
l30a,-9,Don't know (spontaneous),
l30a,-7,Does not apply,
l30a,0,No obstacle,
l30a,1,Minor obstacle,
l30a,2,Moderate obstacle,
l30a,3,Major obstacle,
l30a,4,Very severe obstacle,
j30e,-9,Don't know (spontaneous),
j30e,-7,Does not apply,
j30e,0,No obstacle,
j30e,1,Minor obstacle,
j30e,2,Moderate obstacle,
j30e,3,Major obstacle,
j30e,4,Very severe obstacle,
e30,-9,Don't know (spontaneous),
e30,-7,Does not apply,
e30,0,No obstacle,
e30,1,Minor obstacle,
e30,2,Moderate obstacle,
e30,3,Major obstacle,
e30,4,Very severe obstacle,
j30b,-9,Don't know (spontaneous),
j30b,-7,Does not apply,
j30b,0,No obstacle,
j30b,1,Minor obstacle,
j30b,2,Moderate obstacle,
j30b,3,Major obstacle,
j30b,4,Very severe obstacle,
j30a,-9,Don't know (spontaneous),
j30a,-7,Does not apply,
j30a,0,No obstacle,
j30a,1,Minor obstacle,
j30a,2,Moderate obstacle,
j30a,3,Major obstacle,
j30a,4,Very severe obstacle,
d30a,-9,Don't know (spontaneous),
d30a,-7,Does not apply,
d30a,0,No obstacle,
d30a,1,Minor obstacle,
d30a,2,Moderate obstacle,
d30a,3,Major obstacle,
d30a,4,Very severe obstacle,
m1a,-9,Don't know (spontaneous),
m1a,-7,Does not apply,
m1a,1,Access to finance,
m1a,2,Access to land,
m1a,3,Business licensing and permits,
m1a,4,Corruption,
m1a,5,Courts,
m1a,6,"Crime, theft and disorder",
m1a,7,Customs and trade regulations,
m1a,8,Electricity,
m1a,9,Inadequately educated workforce,
m1a,10,Labor regulations,
m1a,11,Political instability,
m1a,12,Practices of competitors in the informal sector,
m1a,13,Tax administration,
m1a,14,Tax rates,
m1a,15,Transport,
l1,-9,Don't know (spontaneous),
l2,-9,Don't know (spontaneous),
l2,-7,Establishment was not in business,
l9b,-9,Don't know (spontaneous),
l9b,-5,RESPONDENT PREFERS TO PROVIDE THE NUMBER OF WORKERS,
l9b1,-9,Don't know (spontaneous),
l3a,-9,Don't know (spontaneous),
l3b,-9,Don't know (spontaneous),
l5a,-9,Don't know (spontaneous),
l5b,-9,Don't know (spontaneous),
l5,-9,Don't know (spontaneous),
l4a1,-9,Don't know (spontaneous),
l4a2,-9,Don't know (spontaneous),
l4b,-9,Don't know (spontaneous),
l10,-9,Don't know (spontaneous),
l10,1,Yes,
l10,2,No,
l11a1,-9,Don't know (spontaneous),
l11a1,-5,RESPONDENT PREFERS TO PROVIDE THE PERCENTAGE OF WORKERS,
l11a1,0,No employees trained,
l11a,-9,Don't know (spontaneous),
l11a,0,No employees trained,
l11b1,-9,Don't know (spontaneous),
l11b1,-5,Respondent prefers to provide percentage of workers,
l11b1,0,No employees trained,
l11b,-9,Don't know (spontaneous),
l11b,0,No employees trained,
l12a1,-9,Don't know (spontaneous),
l12a1,-5,Respondent prefers to provide percentage of workers,
l12a1,0,No women employees trained,
l12a,-9,Don't know (spontaneous),
l12a,0,No women employees trained,
l34,-9,Don't know (spontaneous),
l34,1,Yes,
l34,2,No,
l35,-9,Don't know (spontaneous),
l35,-6,Still in progress,
l35,0,Dismissals were immediate,
l36,-9,Don't know (spontaneous),
l36,0,No severance was paid,
l1a,-9,Don't know (spontaneous),
l1a,0,No part-time workers,
l6,-9,Don't know (spontaneous),
l6,0,No full-time seasonal or temporary workers,
l6a,-9,Don't know (spontaneous),
l8,-9,Don't know (spontaneous),
l8,1,One month or less,
l37,-9,Don't know (spontaneous),
l37,1,Yes,
l37,2,No,
l38a,-9,Don't know (spontaneous),
l38a,-7,No dispute has been resolved,
l38a,0,Less than one month,
l38b,-9,Don't know (spontaneous),
l40,-9,Don't know (spontaneous),
l40,1,Yes,
l40,2,No,
l41,-9,Don't know (spontaneous),
l41,-5,No inspection has been concluded,
l41,1,Yes,
l41,2,No,
l30d,-9,Don't know (spontaneous),
l30d,-7,Does not apply,
l30d,0,No obstacle,
l30d,1,Minor obstacle,
l30d,2,Moderate obstacle,
l30d,3,Major obstacle,
l30d,4,Very severe obstacle,
l30c,-9,Don't know (spontaneous),
l30c,-7,Does not apply,
l30c,0,No obstacle,
l30c,1,Minor obstacle,
l30c,2,Moderate obstacle,
l30c,3,Major obstacle,
l30c,4,Very severe obstacle,
c32,-9,Don't know (spontaneous),
c32,-7,No elecricity from a utiilty (spontaneous),
c32b,-9,Don't know (spontaneous),
c32b,-7,No elecricity from a utiilty (spontaneous),
c34,-9,Don't know (spontaneous),
c34,-7,No water from a utiilty (spontaneous),
c34b,-9,Don't know (spontaneous),
c34b,1,Cubic meters,
c34b,2,Gallons,
c34b,3,Cubic feet,
c34b,4,Other,
c34b,5,Liters,
c34c,-9,Don't know (spontaneous),
n2a,-9,Don't know (spontaneous),
n2a2,-9,Don't know (spontaneous),
n2e,-9,Don't know (spontaneous),
n2i,-9,Don't know (spontaneous),
n7a,-9,Don't know (spontaneous),
n11,-9,Don't know (spontaneous),
n11,-8,Refusal (spontaneous),
a16,1,Truthful,
a16,2,Somewhat truthful,
a16,3,Not truthful,
a17,1,Are taken directly from establishment records,
a17,2,Are estimates computed with some precision,
a17,3,Are arbitrary and unreliable numbers,
a17,4,Are in some case taken from books and in some case estimates,
a18,1,One visit in face-to-face interview with one person,
a18,2,One visit in face-to-face interview with different managers/staff,
a18,3,Several visits,
a1d,1,Face to face only,
a1d,2,Video conference only,
a1d,3,"Mainly face to face, with parts done by video conference or over the phone",
a1d,4,"Mainly video conference, with parts done face to face or over the phone",
a3b,1,Yes,
a3b,2,No,
a3c,1,Yes,
a3c,2,No,
a3,2,City with population over 1 million,
a3,3,Over 250.000 to 1 million,
a3,4,50.000 to 250.000,
a3,5,Less than 50.000,
stratificationregioncode,1,Kabul,
stratificationregioncode,2,North,
stratificationregioncode,3,West & Southwest,
stratificationregioncode,4,East & Southeast,
stratificationsizecode,1,Small (5-19),
stratificationsizecode,2,Medium (20-99),
stratificationsizecode,3,Large (100 or more),
stratificationsizecode,4,"Small, Medium and Large (5+)",
stratificationsizecode,5,Medium and Large (20+),
stratificationsectorcode,1,Mining,
stratificationsectorcode,2,Manufacturing,
stratificationsectorcode,3,Retail,
stratificationsectorcode,4,Other Services,
stratificationpanelcode,0,Fresh,
stratificationpanelcode,1,Panel,
